policy,win_rate,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature
heuristic,0.54,88.84299999999999,-85.46934999999999,140.99,1.58,12.21,11.49,0.0,6.58,0.13755555555555554,0.004054731694201037,0.6175973273095979,0.0
rl,0.65,84.07000000000002,-80.20075000000001,114.31,3.76,9.25,4.68,0.0,6.39,0.09888888888888889,0.004703283754236588,0.6002333883289627,0.01
