policy,win_rate,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature
heuristic,0.39,129.779,-124.04344999999999,156.97,2.61,18.38,14.43,0.0,5.93,0.16251851851851853,0.003759419410032701,0.6675014680533649,0.0
rl,0.55,123.2315,-117.78575,122.58,6.22,10.89,7.06,0.0,4.34,0.09637037037037038,0.004222187324793783,0.6997061535431027,0.0
