policy,win_rate,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature
heuristic,0.29,115.52950000000001,-115.601,173.36,1.79,3.68,11.85,0.0,1.34,0.161825,0.004644802805074704,0.45628946432804507,0.0
rl,0.39,115.662,-114.27225000000003,157.14,3.18,2.62,4.15,0.0,1.37,0.068675,0.007572950867988032,0.40726595888812733,0.01
