policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,40,163,Bacteria,0,86.90000000000016,-86.90000000000016,220,0,0,0,0,0,0.23,0.00909090909090909,0.0,0,0
heuristic,41,164,Bacteria,0,159.44999999999985,-160.43499999999986,220,3,0,32,0,6,0.045,0.0,0.9636363636363636,0,0
heuristic,42,165,Bacteria,0,40.30000000000005,-35.09500000000005,184,0,26,20,0,4,0.15,0.021739130434782608,0.967391304347826,0,0
heuristic,43,166,Host,1,10.59999999999998,-4.59999999999998,79,0,10,0,0,18,0.12,0.012658227848101266,0.5443037974683544,0,0
heuristic,44,167,Host,1,137.10000000000016,-131.85000000000016,122,4,0,20,0,0,0.1375,0.0,0.6557377049180327,0,0
heuristic,45,168,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.2325,0.00909090909090909,0.0,0,0
heuristic,46,169,Host,1,111.25000000000007,-113.07000000000008,122,6,0,22,0,0,0.0325,0.0,0.9590163934426229,0,0
heuristic,47,170,Bacteria,0,104.3,-104.3,220,0,0,0,0,0,0.25,0.004545454545454545,0.0,0,0
heuristic,48,171,Bacteria,0,138.5000000000002,-138.5000000000002,220,0,0,0,0,0,0.2275,0.0,0.0,0,0
heuristic,49,172,Host,1,130.45000000000007,-127.35500000000008,130,10,0,27,0,0,0.05,0.0,0.9076923076923077,0,0
heuristic,50,173,Bacteria,0,111.49999999999962,-123.01499999999962,220,3,0,46,0,0,0.075,0.0,0.8909090909090909,0,0
heuristic,51,174,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.2225,0.0,0.0,0,0
heuristic,52,175,Bacteria,0,96.50000000000001,-107.70000000000002,220,0,0,63,0,0,0.065,0.0,0.9272727272727272,0,0
heuristic,53,176,Bacteria,0,128.09999999999982,-128.09999999999982,220,0,0,0,0,0,0.23,0.01818181818181818,0.0,0,0
heuristic,54,177,Bacteria,0,75.70000000000007,-85.85000000000008,220,0,0,58,0,0,0.12,0.0,0.7863636363636364,0,0
heuristic,55,178,Bacteria,0,181.19999999999962,-203.10999999999962,174,10,0,36,0,0,0.0625,0.0,0.9597701149425287,0,0
heuristic,56,179,Host,1,23.300000000000008,-14.800000000000008,76,0,29,14,0,0,0.0825,0.0,1.0,0,0
heuristic,57,180,Bacteria,0,160.80000000000044,-165.70000000000044,220,0,0,28,0,0,0.2225,0.004545454545454545,0.4863636363636364,0,0
heuristic,58,181,Host,1,136.29999999999984,-125.68499999999985,92,6,0,12,0,0,0.13,0.010869565217391304,0.5217391304347826,0,0
heuristic,59,182,Bacteria,0,180.2000000000001,-180.2000000000001,209,0,0,0,0,0,0.2125,0.004784688995215311,0.0430622009569378,0,0
heuristic,60,183,Host,1,44.499999999999915,-40.69999999999992,120,0,17,21,0,0,0.135,0.0,0.9833333333333333,0,0
heuristic,61,184,Bacteria,0,180.3,-180.3,209,0,0,0,0,0,0.185,0.0,0.0,0,0
heuristic,62,185,Bacteria,0,150.30000000000044,-150.30000000000044,220,0,0,0,0,0,0.245,0.004545454545454545,0.0,0,0
heuristic,63,186,Bacteria,0,151.40000000000012,-151.40000000000012,220,0,0,0,0,0,0.235,0.004545454545454545,0.0,0,0
heuristic,64,187,Host,1,159.90000000000018,-148.99000000000018,167,6,57,28,0,0,0.16,0.0,1.0,0,0
heuristic,65,188,Bacteria,0,125.95000000000002,-128.4,220,2,0,33,0,6,0.095,0.0,0.8227272727272728,0,0
heuristic,66,189,Bacteria,0,180.0500000000005,-193.5550000000005,156,9,0,27,0,0,0.1075,0.0,0.7435897435897436,0,0
heuristic,67,190,Bacteria,0,160.80000000000027,-160.80000000000027,220,0,0,0,0,0,0.2175,0.004545454545454545,0.0,0,0
heuristic,68,191,Bacteria,0,82.79999999999974,-82.79999999999974,220,0,0,0,0,0,0.2275,0.00909090909090909,0.0,0,0
heuristic,69,192,Bacteria,0,86.10000000000015,-92.92500000000015,220,0,0,35,0,0,0.085,0.00909090909090909,0.6727272727272727,0,0
heuristic,70,193,Host,1,142.15,-146.455,199,8,0,34,0,0,0.065,0.0,0.964824120603015,0,0
heuristic,71,194,Host,1,145.35000000000002,-138.55,139,7,0,6,0,9,0.14,0.0,0.4892086330935252,0,0
heuristic,72,195,Bacteria,0,180.70000000000016,-182.80000000000015,183,0,0,12,0,0,0.205,0.00546448087431694,0.20218579234972678,0,0
heuristic,73,196,Bacteria,0,180.70000000000005,-178.23000000000005,152,6,0,8,0,0,0.195,0.006578947368421052,0.3223684210526316,0,0
heuristic,74,197,Host,1,117.75000000000006,-111.06500000000005,87,8,0,13,0,0,0.0925,0.0,0.6206896551724138,0,0
heuristic,75,198,Host,1,104.49999999999996,-95.99499999999996,73,7,0,8,0,0,0.045,0.0,0.9178082191780822,0,0
heuristic,76,199,Host,1,37.80000000000007,-36.310000000000066,136,0,24,26,0,2,0.1125,0.014705882352941176,0.9852941176470589,0,0
heuristic,77,200,Bacteria,0,180.99999999999983,-176.59499999999983,197,2,0,23,0,2,0.2,0.005076142131979695,0.4873096446700508,0,0
heuristic,78,201,Host,1,20.300000000000004,-17.675000000000004,109,0,16,25,0,11,0.1175,0.0,0.8715596330275229,0,0
heuristic,79,202,Bacteria,0,139.1000000000002,-139.1000000000002,220,0,0,0,0,0,0.2475,0.004545454545454545,0.0,0,0
heuristic,80,203,Bacteria,0,180.39999999999998,-180.39999999999998,201,0,0,0,0,0,0.235,0.014925373134328358,0.0,0,0
heuristic,81,204,Bacteria,0,181.70000000000059,-186.70000000000059,178,13,0,33,0,2,0.1175,0.0,0.7247191011235955,0,0
heuristic,82,205,Bacteria,0,130.8000000000003,-130.8000000000003,220,0,0,0,0,0,0.24,0.00909090909090909,0.0,0,0
heuristic,83,206,Bacteria,0,182.29999999999995,-182.29999999999995,92,0,0,0,0,0,0.1875,0.010869565217391304,0.0,0,0
heuristic,84,207,Bacteria,0,151.89999999999998,-151.89999999999998,220,0,0,0,0,0,0.2425,0.013636363636363636,0.0,0,0
heuristic,85,208,Bacteria,0,180.40000000000032,-180.40000000000032,204,0,0,0,0,0,0.2375,0.0,0.0,0,0
heuristic,86,209,Bacteria,0,181.30000000000018,-186.55000000000018,218,0,0,16,0,0,0.2225,0.0,0.30275229357798167,0,0
heuristic,87,210,Bacteria,0,122.19999999999955,-122.19999999999955,220,0,0,0,0,0,0.2375,0.0,0.0,0,0
heuristic,88,211,Bacteria,0,144.80000000000013,-144.80000000000013,220,0,0,0,0,0,0.02,0.0,0.990909090909091,0,0
heuristic,89,212,Bacteria,0,181.5000000000001,-181.5000000000001,187,0,0,0,0,0,0.2275,0.0,0.0374331550802139,0,0
heuristic,90,213,Bacteria,0,180.90000000000006,-180.90000000000006,217,0,0,0,0,0,0.2225,0.004608294930875576,0.004608294930875576,0,0
heuristic,91,214,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.235,0.004545454545454545,0.0,0,0
heuristic,92,215,Bacteria,0,65.99999999999973,-66.52499999999974,220,0,0,3,0,0,0.13,0.0,0.740909090909091,0,0
heuristic,93,216,Bacteria,0,113.69999999999965,-113.69999999999965,220,0,0,0,0,0,0.245,0.004545454545454545,0.0,0,0
heuristic,94,217,Bacteria,0,115.59999999999957,-115.59999999999957,220,0,0,0,0,0,0.23,0.004545454545454545,0.022727272727272728,0,0
heuristic,95,218,Host,1,11.999999999999988,-8.999999999999988,60,0,7,0,0,0,0.1125,0.05,0.6333333333333333,0,0
heuristic,96,219,Host,1,128.99999999999991,-132.6099999999999,114,13,0,12,0,0,0.135,0.008771929824561403,0.4824561403508772,0,0
heuristic,97,220,Host,1,6.199999999999998,-2.8999999999999986,34,0,8,4,0,0,0.0575,0.0,1.0,0,0
heuristic,98,221,Bacteria,0,96.79999999999959,-96.79999999999959,220,0,0,0,0,0,0.2275,0.022727272727272728,0.0,0,0
heuristic,99,222,Bacteria,0,145.50000000000048,-147.07500000000047,220,0,0,8,0,0,0.095,0.0,0.8181818181818182,0,0
rl,0,123,Bacteria,0,81.59999999999995,-83.34999999999995,220,0,0,5,0,4,0.0775,0.0,0.8590909090909091,0,0
rl,1,124,Bacteria,0,169.80000000000072,-169.80000000000072,220,0,0,0,0,0,0.095,0.031818181818181815,0.004545454545454545,0,0
rl,2,125,Host,1,25.500000000000025,-18.025000000000023,92,0,15,2,0,20,0.0825,0.0,0.75,0,0
rl,3,126,Bacteria,0,34.6,-25.6,120,0,23,0,0,0,0.03,0.0,1.0,0,0
rl,4,127,Bacteria,0,181.10000000000022,-181.10000000000022,148,0,0,0,0,0,0.0575,0.0,0.8108108108108109,0,0
rl,5,128,Bacteria,0,104.7999999999997,-104.7999999999997,220,0,0,0,0,0,0.035,0.0,0.0,0,0
rl,6,129,Host,1,45.59999999999995,-37.94999999999995,121,0,20,1,0,0,0.05,0.0,1.0,0,0
