policy,win_rate,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature
heuristic,0.4,93.82000000000008,-91.91700000000007,147.2,3.0,5.0,6.0,0.0,0.0,0.1397530864197531,0.004635083226632522,0.49523809523809526,0.0
mcts,0.2,117.24000000000017,-116.19900000000015,188.2,0.2,2.2,4.2,0.2,7.8,0.15506172839506174,0.012424242424242424,0.3501952410006101,0.0
rl,0.0,122.28,-121.88,202.2,0.0,2.0,0.0,0.0,0.0,0.11703703703703702,0.006741573033707865,0.35545454545454547,0.0
